name,status,stock,description,price
Salmon - Fillets,false,63,implement e-business mindshare,$2.42
Dc - Sakura Fu,false,85,utilize clicks-and-mortar relationships,$2.46
"Corn - Cream, Canned",false,14,engineer sticky architectures,$3.07
Table Cloth 62x114 White,false,23,streamline value-added models,$5.95
Long Island Ice Tea,false,20,grow viral infomediaries,$7.72
Lambcasing,true,42,whiteboard leading-edge architectures,$7.53
Gherkin,true,24,e-enable killer schemas,$5.05
Pepper - Orange,true,82,maximize impactful e-tailers,$2.94
Wine - Ej Gallo Sonoma,false,25,strategize proactive niches,$2.74
Sour Puss Raspberry,true,54,recontextualize intuitive synergies,$2.27
Wine - Rubyport,true,60,productize interactive ROI,$2.26
Beef Wellington,false,79,transition end-to-end eyeballs,$7.40
Chickhen - Chicken Phyllo,true,65,reinvent proactive bandwidth,$2.64
Ostrich - Prime Cut,true,25,orchestrate turn-key applications,$9.68
Wine - Maipo Valle Cabernet,true,67,maximize bricks-and-clicks vortals,$8.06
Tea Leaves - Oolong,true,45,reinvent robust deliverables,$3.12
Dates,true,29,strategize 24/7 experiences,$2.29
"Cake Circle, Paprus",false,92,enhance virtual metrics,$9.20
Scallops 60/80 Iqf,false,66,disintermediate distributed technologies,$3.41
Honey - Liquid,false,53,productize dynamic initiatives,$7.64
Fond - Chocolate,false,29,innovate wireless e-commerce,$2.61
Straw - Regular,false,42,architect transparent eyeballs,$8.46
Pepper - Yellow Bell,false,59,deploy synergistic e-services,$5.59
Sauce - Rosee,false,46,engineer mission-critical users,$5.38
Sponge Cake Mix - Vanilla,false,72,deploy interactive interfaces,$2.88
Cheese - Valancey,false,26,reintermediate impactful networks,$4.48
Sambuca - Ramazzotti,false,58,seize turn-key experiences,$6.48
Pastry - Mini French Pastries,false,89,whiteboard best-of-breed infomediaries,$7.14
Mcguinness - Blue Curacao,true,31,empower vertical e-services,$8.64
Onions - Green,true,27,visualize scalable ROI,$4.28
Beans - Green,true,91,engineer customized e-business,$8.65
Lettuce - Arugula,false,82,empower cutting-edge models,$4.63
Cheese - Comtomme,false,25,redefine ubiquitous schemas,$3.76
Ham - Black Forest,true,30,orchestrate vertical methodologies,$3.90
Artichoke - Fresh,true,82,generate clicks-and-mortar initiatives,$7.28
Beer - Blue Light,false,11,grow scalable e-services,$3.16
Chutney Sauce,true,43,e-enable sticky mindshare,$4.40
Crab - Imitation Flakes,false,87,seize 24/7 infrastructures,$3.92
Apple - Northern Spy,true,21,facilitate cross-media convergence,$7.61
"Split Peas - Yellow, Dry",false,24,exploit 24/7 architectures,$5.08
Cheese - Gouda Smoked,false,81,exploit clicks-and-mortar e-commerce,$3.29
Scallops - U - 10,false,94,exploit dynamic mindshare,$7.13
Tuna - Bluefin,false,30,synthesize rich relationships,$8.42
Duck - Breast,false,32,leverage mission-critical technologies,$8.03
Pan Grease,false,43,enable clicks-and-mortar channels,$9.42
Muffin Orange Individual,true,88,embrace frictionless platforms,$8.69
Pork - Caul Fat,true,40,leverage real-time channels,$7.58
"Juice - Apple, 500 Ml",true,91,utilize open-source functionalities,$6.59
"Pasta - Penne Primavera, Single",false,51,grow real-time functionalities,$4.75
"Pasta - Shells, Medium, Dry",true,61,whiteboard holistic technologies,$3.26
Bread Crumbs - Japanese Style,true,66,brand extensible eyeballs,$8.83
Wine - Prosecco Valdobienne,true,37,iterate next-generation models,$8.50
"Wine - Red, Wolf Blass, Yellow",false,44,synthesize compelling interfaces,$2.81
English Muffin,true,21,incentivize 24/7 models,$8.03
Bread - 10 Grain Parisian,false,11,enable user-centric users,$7.56
Grapes - Black,true,98,monetize out-of-the-box channels,$5.79
Clams - Canned,false,38,reintermediate innovative initiatives,$8.34
Jolt Cola - Red Eye,false,36,iterate leading-edge e-business,$4.36
Ecolab - Hobart Upr Prewash Arm,true,21,extend killer e-markets,$7.23
Cheese - Montery Jack,false,11,orchestrate end-to-end e-business,$2.80
"Lentils - Red, Dry",true,28,evolve dot-com solutions,$8.23
Bowl 12 Oz - Showcase 92012,false,16,mesh customized communities,$9.40
Sardines,true,20,optimize vertical paradigms,$6.71
Cheese - Gorgonzola,false,13,incentivize customized ROI,$2.90
Tea - Herbal Orange Spice,true,84,repurpose transparent methodologies,$3.59
French Pastries,false,16,engage vertical infomediaries,$9.44
Juice - Propel Sport,false,69,visualize extensible action-items,$8.10
Ham - Black Forest,true,95,productize enterprise web services,$2.12
"Garlic - Primerba, Paste",true,10,engage open-source relationships,$5.02
Bread - Kimel Stick Poly,false,41,repurpose holistic models,$8.90
"Iced Tea - Lemon, 340ml",false,82,unleash intuitive deliverables,$5.97
Cheese - Grana Padano,true,33,disintermediate plug-and-play initiatives,$2.72
Green Tea Refresher,true,89,deliver one-to-one technologies,$6.78
Relish,false,45,unleash cross-media experiences,$4.93
Sugar - White Packet,true,45,synergize user-centric experiences,$8.56
Papayas,false,28,reinvent plug-and-play applications,$7.40
Chocolate - Dark,false,44,exploit bricks-and-clicks interfaces,$4.86
Wine - Chateau Bonnet,false,35,enhance 24/7 ROI,$7.38
Beer - Original Organic Lager,true,59,productize collaborative convergence,$6.14
Cookie Trail Mix,true,70,optimize real-time technologies,$5.66
Lettuce - Romaine,false,55,matrix enterprise portals,$7.38
"Soup - French Onion, Dry",true,53,repurpose innovative schemas,$4.93
"Wine - White, Colubia Cresh",true,30,aggregate back-end technologies,$6.38
Lambcasing,false,22,architect revolutionary e-commerce,$7.64
"Juice - Apple, 1.36l",false,81,orchestrate e-business content,$5.37
Chutney Sauce,false,100,synthesize efficient experiences,$3.15
"Fish - Soup Base, Bouillon",true,40,disintermediate scalable users,$6.07
Beef - Flank Steak,false,39,recontextualize synergistic technologies,$2.77
Sachet,true,42,brand intuitive metrics,$6.14
Lettuce - Arugula,true,18,target rich communities,$5.05
Napkin Colour,true,71,iterate frictionless relationships,$3.54
"Flour - Buckwheat, Dark",false,91,visualize plug-and-play action-items,$2.80
Monkfish - Fresh,true,94,strategize strategic portals,$7.21
"Capon - Breast, Double, Wing On",false,30,redefine B2C eyeballs,$2.88
"Pork - Chop, Frenched",false,92,strategize user-centric technologies,$5.42
Chicken - Wieners,true,50,morph ubiquitous functionalities,$4.80
"Soup - Clam Chowder, Dry Mix",true,88,leverage impactful eyeballs,$2.18
"Mushrooms - Black, Dried",false,59,strategize collaborative metrics,$3.89
"Pepper - Black, Whole",false,31,harness ubiquitous portals,$6.26
Mustard - Pommery,true,62,syndicate leading-edge e-business,$6.18
Bread - Frozen Basket Variety,false,99,aggregate virtual supply-chains,$9.36
Peas - Frozen,true,81,maximize visionary e-markets,$5.94
"Lettuce - Romaine, Heart",true,44,morph 24/7 action-items,$2.26
Soup Campbells Split Pea And Ham,false,50,evolve robust e-commerce,$7.79
"Nut - Almond, Blanched, Sliced",false,79,innovate viral e-business,$7.19
Nestea - Iced Tea,true,37,optimize one-to-one relationships,$7.85
Garlic - Peeled,false,92,aggregate sexy ROI,$5.37
"Lamb - Whole, Frozen",true,97,enable bleeding-edge web-readiness,$7.89
Beef - Striploin,true,71,engage dot-com content,$3.74
Chicken - Base,true,41,extend customized portals,$8.16
Flour Pastry Super Fine,false,66,synthesize rich relationships,$2.94
Vaccum Bag 10x13,false,36,revolutionize real-time solutions,$3.62
Drambuie,true,14,morph cross-media platforms,$2.82
Aspic - Light,true,60,enhance interactive solutions,$4.08
Chicken - Livers,false,68,incubate best-of-breed web-readiness,$9.68
Shrimp - Black Tiger 13/15,true,75,recontextualize transparent initiatives,$3.61
"Doilies - 10, Paper",false,23,empower 24/365 partnerships,$3.08
Flower - Commercial Spider,true,91,integrate strategic markets,$9.63
Chips Potato Swt Chilli Sour,false,21,implement integrated experiences,$4.47
Glaze - Apricot,false,25,monetize cross-media communities,$2.81
Beer - Guiness,true,66,productize cross-media infomediaries,$2.63
"Pasta - Fettuccine, Egg, Fresh",false,83,embrace turn-key experiences,$4.55
Chicken - Base,true,54,matrix sexy niches,$2.09
Longan,false,87,transform sticky e-markets,$4.73
Veal - Striploin,false,87,incubate granular networks,$6.41
Wine - Taylors Reserve,true,67,deliver vertical eyeballs,$7.98
"Crab - Dungeness, Whole",true,23,maximize virtual technologies,$9.31
"Pasta - Bauletti, Chicken White",false,37,syndicate web-enabled e-business,$9.27
Beef - Montreal Smoked Brisket,true,10,grow bleeding-edge niches,$3.02
Peas Snow,false,62,scale global experiences,$2.65
"Peas - Pigeon, Dry",false,10,reinvent proactive architectures,$7.48
Wine - Montecillo Rioja Crianza,false,56,deploy 24/7 channels,$5.75
Galliano,true,48,orchestrate customized channels,$4.81
Lemon Tarts,true,92,innovate dot-com supply-chains,$8.40
Vodka - Moskovskaya,false,87,implement ubiquitous e-services,$7.05
"Veal - Inside, Choice",true,92,envisioneer viral infomediaries,$3.68
"Pepsi, 355 Ml",false,72,harness e-business e-services,$2.99
Squid - U - 10 Thailand,false,44,expedite back-end eyeballs,$8.17
Beer - Sleemans Cream Ale,false,80,matrix virtual markets,$9.53
Juice - Apple 284ml,true,19,utilize front-end action-items,$7.81
Sobe - Liz Blizz,true,83,generate interactive infomediaries,$9.20
Scallops - In Shell,false,20,transform scalable architectures,$4.74
Lamb - Shanks,false,19,synergize synergistic web-readiness,$9.48
Coriander - Ground,false,91,recontextualize plug-and-play schemas,$9.12
"Pasta - Canelloni, Single Serve",true,32,maximize plug-and-play channels,$4.23
"Jam - Raspberry,jar",true,85,brand transparent solutions,$3.64
Fish - Bones,true,52,expedite innovative networks,$9.78
Glass Clear 7 Oz Xl,false,25,integrate B2B methodologies,$7.59
"Wine - Red, Wolf Blass, Yellow",true,20,repurpose efficient schemas,$2.19
Oxtail - Cut,true,19,aggregate global supply-chains,$6.92
Extract - Rum,true,99,monetize magnetic models,$7.45
Sauce - Vodka Blush,false,37,matrix 24/365 platforms,$3.36
Vinegar - Cider,false,75,incubate B2C applications,$2.56
Juice - Happy Planet,false,77,transform transparent eyeballs,$3.11
Bread - Flat Bread,false,22,maximize sticky functionalities,$8.89
Eel - Smoked,false,24,repurpose intuitive content,$6.95
Crab - Meat Combo,false,42,expedite compelling functionalities,$9.13
Beets,false,85,synthesize frictionless architectures,$5.81
Muffin Chocolate Individual Wrap,true,61,extend distributed initiatives,$7.22
Beef - Bresaola,false,48,brand cross-platform portals,$8.08
Mint - Fresh,true,80,facilitate granular e-markets,$5.56
Puree - Mango,true,96,cultivate plug-and-play web services,$6.66
Drambuie,true,80,facilitate world-class web services,$6.06
"Pasta - Penne Primavera, Single",true,40,envisioneer transparent e-tailers,$8.67
"Apple - Delicious, Red",true,30,expedite next-generation applications,$8.88
Bay Leaf Ground,true,48,incentivize enterprise synergies,$9.12
Veal - Kidney,false,45,seize 24/365 markets,$3.66
Pomello,false,63,monetize leading-edge deliverables,$4.95
Soup Bowl Clear 8oz92008,true,24,e-enable vertical methodologies,$6.82
"Beans - Turtle, Black, Dry",false,98,grow value-added paradigms,$4.03
Schnappes Peppermint - Walker,false,98,incentivize real-time users,$2.17
Oil - Sunflower,true,100,orchestrate user-centric content,$9.02
"Corn - Cream, Canned",true,83,engage extensible e-commerce,$6.44
Wine - Coteaux Du Tricastin Ac,true,53,brand seamless e-tailers,$4.58
Cake Slab,true,18,target enterprise networks,$7.35
Cassis,false,58,repurpose customized metrics,$7.21
Sausage - Liver,false,15,innovate synergistic mindshare,$8.10
Oil - Sunflower,true,71,evolve virtual interfaces,$5.90
Wine - Beringer Founders Estate,true,97,leverage cross-platform deliverables,$6.49
Kellogs All Bran Bars,true,28,transform impactful channels,$2.98
Sweet Pea Sprouts,true,15,iterate customized content,$4.37
"Mushroom - Enoki, Fresh",false,17,matrix bleeding-edge vortals,$7.72
"Lamb - Leg, Bone In",true,63,whiteboard visionary ROI,$9.39
Cheese - Gouda,true,57,cultivate integrated synergies,$5.35
Wanton Wrap,true,22,cultivate turn-key schemas,$3.82
Macaroons - Homestyle Two Bit,false,85,harness extensible technologies,$2.94
Wine - Two Oceans Cabernet,false,20,whiteboard collaborative paradigms,$5.74
Puff Pastry - Slab,false,76,matrix cutting-edge e-services,$6.08
Longos - Grilled Salmon With Bbq,false,35,synthesize efficient e-services,$6.07
"Yeast - Fresh, Fleischman",false,57,transition open-source metrics,$6.15
Ham - Black Forest,false,63,scale vertical channels,$4.67
Ginger - Crystalized,true,73,synthesize magnetic eyeballs,$8.51
Flower - Potmums,false,93,incentivize 24/365 markets,$8.80
Muffin - Blueberry Individual,false,30,redefine dot-com mindshare,$5.00
Pepper - Chilli Seeds Mild,false,24,architect vertical relationships,$4.08
"Arctic Char - Fresh, Whole",false,40,transform value-added experiences,$6.35
Potatoes - Parissienne,true,92,empower ubiquitous markets,$6.26
Wine - Maipo Valle Cabernet,false,93,morph extensible web services,$6.56
"Pasta - Bauletti, Chicken White",true,59,architect 24/365 platforms,$2.11
Chips Potato Reg 43g,true,17,innovate innovative solutions,$3.03
Guava,false,26,streamline best-of-breed partnerships,$7.18
Spice - Chili Powder Mexican,true,50,exploit back-end e-markets,$2.84
Cheese - Valancey,false,21,enable 24/365 convergence,$8.27
Rice - Wild,true,46,cultivate innovative e-tailers,$7.93
Cucumber - English,true,43,facilitate bricks-and-clicks channels,$3.53
Appetizer - Escargot Puff,true,85,envisioneer value-added niches,$9.57
Spinach - Frozen,true,24,mesh web-enabled e-tailers,$4.82
Pail With Metal Handle 16l White,false,76,drive back-end markets,$5.54
Chocolate - Sugar Free Semi Choc,false,11,incentivize leading-edge models,$3.78
Towel Multifold,true,53,harness value-added models,$7.96
Tea - Lemon Green Tea,false,64,enable innovative e-tailers,$8.49
Dc - Frozen Momji,true,89,extend e-business web-readiness,$2.79
Olives - Kalamata,true,77,envisioneer cutting-edge content,$9.98
Lettuce - Red Leaf,false,12,generate ubiquitous markets,$8.48
Cheese - Parmesan Grated,false,87,reinvent transparent paradigms,$8.35
Basil - Seedlings Cookstown,true,32,implement robust web-readiness,$6.22
Scallops - 20/30,true,35,iterate B2C e-markets,$2.56
Cheese - Grana Padano,false,12,morph seamless initiatives,$6.56
Kahlua,false,47,unleash out-of-the-box systems,$5.09
Honey - Liquid,false,23,drive customized schemas,$5.80
Flavouring - Raspberry,false,11,implement enterprise interfaces,$9.84
"Pasta - Elbows, Macaroni, Dry",true,89,productize cross-media markets,$8.57
Container Clear 8 Oz,true,86,expedite seamless convergence,$9.14
Potatoes - Yukon Gold 5 Oz,false,71,cultivate next-generation action-items,$6.82
Milk - Condensed,false,47,extend scalable methodologies,$9.48
Miso Paste White,false,84,aggregate extensible systems,$6.52
Appetiser - Bought,false,98,architect clicks-and-mortar interfaces,$2.22
"Lemonade - Mandarin, 591 Ml",true,34,streamline bricks-and-clicks partnerships,$6.56
Capers - Ox Eye Daisy,true,79,brand end-to-end deliverables,$5.50
Lettuce - Romaine,false,43,seize extensible synergies,$9.73
Chips - Doritos,false,26,aggregate efficient content,$6.47
Wine - Port Late Bottled Vintage,true,76,transition clicks-and-mortar solutions,$8.17
Flour - Masa De Harina Mexican,false,41,aggregate e-business channels,$3.94
Bread - Rosemary Focaccia,true,94,innovate B2C schemas,$8.40
Dried Cherries,true,34,architect real-time models,$6.86
